opeid8	mode	provider	time	demog_pop_18_to_64_latinx	demog_pop_18_to_64_white	demog_pop_18_to_64_black	demog_pop_18_to_64_all
1171100	walk	otp	60	5238.2715087917056606014	15691.9025600186051254200	1754.1456502640327465048	26674.3822193698815851725
1171100	drive	mapbox	60	1189920.002484443232907536821677	874857.617343495241385147284365	608750.374270532808317933706084	2970673.209126311544574510301268
1171100	transit	otp	60	5642.7462424854888481898	17194.9525689694146262392	1934.7514425405808860364	28874.7628179032355664105
1171102	walk	otp	60	10843.743547166869559248669385	5625.658850154209653813728924	3299.534682223171490906920338	22757.081581167441139275909704
1171102	drive	mapbox	60	1426709.9059240081178531322837205	1267180.6350146038955962838125885	714303.5642896552973523951635056	3789470.0261496977567897259523743
1171102	transit	otp	60	10843.743547166869559248669385	5625.658850154209653813728924	3299.534682223171490906920338	22757.081581167441139275909704
1171105	walk	otp	60	18159.580420713383506273	3786.582956848588998630	8334.507353280839910884	31516.749204643181474596
1171105	drive	mapbox	60	1467768.18451093218974943557836990	1413586.97650082741301043990270214	724588.25296637488760846714036220	3998332.52842055170979670623549222
1171105	transit	otp	60	24494.980509606416455301	4396.013697603934001861	10252.101647446852431635	40488.525702923059324917
1323107	walk	otp	60	17014.1412014221178902962	9012.6971371023300639051	7646.3002948069317764792	36015.8725914045617521829
1323107	drive	mapbox	60	1220056.41108036824928409357624750	1032488.44515380123750702343665094	647880.19475377783923459219838220	3251961.10572612309524922690298162
1323107	transit	otp	60	17014.1412014221178902962	9012.6971371023300639051	7646.3002948069317764792	36015.8725914045617521829
1323108	walk	otp	60	12682.50335486366880363604	5012.72834670806291768376	3086.09645771429745028127	21841.30946138932491990160
1323108	drive	mapbox	60	1208180.868036725353719632334967	897910.083960940698980410772894	597089.328706361620023537764652	3044766.275983094870744690369156
1323108	transit	otp	60	12682.50335486366880363604	5012.72834670806291768376	3086.09645771429745028127	21841.30946138932491990160
2060303	walk	otp	60	10408.207084542906440046	2422.464124375323771979	9752.474140010914023535	23402.579601396165989451
2060303	drive	mapbox	60	1461419.89001012330395414622982490	1429878.15247931046332886359934214	717545.65810316493585766413324220	4000906.49142504463913843100889222
2060303	transit	otp	60	33926.8804306103745207530	7320.0233099243855399770	25289.6451334683084080970	68935.8485444289061003250
2098871	walk	otp	60	5751.95419948386564323804	15827.21278111451352708442	2713.84580957301702922852	28068.60452355190923090024
2098871	drive	mapbox	60	1470594.12253664618363184280112590	1415311.75395154590281260240725214	723103.48573840918646285387718020	4002237.44083399885794972156464322
2098871	transit	otp	60	37489.01782061310759531580	49163.10611293302106752718	15694.60970692831510480484	116802.26559568046033613540
2098875	walk	otp	60	3825.76087002830907153560	8902.97733527295312327416	1233.72783904874059455100	14640.91129591093091521196
2098875	drive	mapbox	60	1390337.49723041113984573403083290	1282898.27921095455850550048300114	684130.94098464557428772063419620	3721919.55077758959432171913602822
2098875	transit	otp	60	3825.76087002830907153560	8902.97733527295312327416	1233.72783904874059455100	14640.91129591093091521196
2113610	walk	otp	60	33352.4000262328814875338	17509.5210026335554067950	18291.0084692440111854746	81657.2706063668638440700
2113610	drive	mapbox	60	1453300.16180546940212632427715750	1366688.67010926111049198432229894	720022.13360291588737019644863020	3931399.85493433949883732998254362
2113610	transit	otp	60	185387.84418007505945461450	125353.94289313367901647428	88775.57023924836855086894	469025.71306311471283765710
2117100	walk	otp	60	11226.7828913609620062002	35822.0762250152964838560	4066.4931329677215035056	61174.7839913064666101402
2117100	drive	mapbox	60	1493540.02452805664985216590339590	1456916.48898303355406129281751214	733492.29029629988276813099805620	4079235.71635327325086579977066222
2117100	transit	otp	60	123990.1955129688012758430	179922.0496382983444748435	65071.6577288873109037763	424593.1421987033077371086
2144800	walk	otp	60	22531.8003500850042892376	30404.2904052408271714952	6864.6126220052404455226	70172.9381161331561086890
2144800	drive	mapbox	60	1489650.73707858625086236704891590	1449653.79001822433183433539007214	731985.94009628790791368756157620	4066260.89316550307137322115298222
2144800	transit	otp	60	90971.9791173518554575010	126100.8306211925744642333	41361.5975434235838347807	300037.1403064556834055368
2217118	walk	otp	60	12965.2928645459256250192	16261.4841786545010403411	1418.3950475585837467320	35268.4202473812660959400
2217118	drive	mapbox	60	1469328.72025650539444541858534390	1410034.04551310804615026869277714	723209.97686333359102588827476220	3995798.55092514593696303153360522
2217118	transit	otp	60	188479.79003454752550025420	190564.90144505696145690178	69384.55194852286538278734	504249.09146196473765283500
2230601	walk	otp	60	8496.5579562348080803726	5211.0722894395015985577	6068.8092508389172249736	26054.2794672882379228700
2230601	drive	mapbox	60	1444261.7477785262372414985574505	1336689.6749757522948077135240575	718190.6185329262246766237563936	3888090.3259465984105641263619623
2230601	transit	otp	60	8612.7221114826011597226	5252.9931518360421573077	6172.0791270323261048736	26337.2019220555109628200
2305813	walk	otp	60	561.6086897136650505431	410.8717174712529070625	366.1114777022624830548	1411.1271159973604506261
2305813	drive	mapbox	60	1397637.0813517117179545004878309	1294229.3307432642467439596950217	701564.5806090818570438589003286	3768780.8120915614556290359986579
2305813	transit	otp	60	561.6086897136650505431	410.8717174712529070625	366.1114777022624830548	1411.1271159973604506261
2331300	walk	otp	60	51189.8075601288308881964	6408.8647835165667207492	1322.0780483665874166440	59788.3082408469198380419
2331300	drive	mapbox	60	1448149.2547312828586434102358649	1357290.3840564404983868862185667	720493.5006222241595793111082486	3915822.3421860319974962721836609
2331300	transit	otp	60	51189.8075601288308881964	6408.8647835165667207492	1322.0780483665874166440	59788.3082408469198380419
2331301	walk	otp	60	27229.0607988951079824962	18990.5960662896210286561	15472.6904931969855874304	72511.7865570301355618756
2331301	drive	mapbox	60	1447788.77126502941033575969370750	1360336.08270014453303444750924894	716975.22831198939717122195863020	3916058.77600499997376373138514362
2331301	transit	otp	60	208453.19223363399297672020	148614.28564111889181439888	89966.08002822845125702424	517141.60996746243457338270
2331304	walk	otp	60	18848.938257729497055626	1354.683577514312611991	7544.080814981248734639	28597.761146899300934681
2331304	drive	mapbox	60	1464111.22484975878795069474462490	1434599.30410054997221788336734214	719290.56019679323420596368154220	4010482.38264527782447657398349222
2331304	transit	otp	60	121553.3313250764219080593	25820.6203274968856992840	63121.5283049719999970406	223337.7066855734400292063
2357700	walk	otp	60	10464.4558631217673612888	14966.8802330394097247120	1111.8183780877451132419	31047.4897433914320115154
2357700	drive	mapbox	60	1468807.34924767375220454375640790	1413173.93960739812702861411477514	722152.58705117447202490582649820	3997137.10160493282228462739791222
2357700	transit	otp	60	72044.51876471168611321220	74225.80794594843266111188	23857.09966660715732910694	192127.92665301400583403630
2357701	walk	otp	60	3971.900492946601749530	5996.416471749360905279	1933.578224397798004957	13461.571549629238143584
2357701	drive	mapbox	60	1372645.8512126491480843236978205	1186920.7241921445197713006515885	689130.1666572805031056642597056	3611594.3376298578532180756684743
2357701	transit	otp	60	3971.900492946601749530	5996.416471749360905279	1933.578224397798004957	13461.571549629238143584
2362000	walk	otp	60	13008.804520020616725402	2942.746471063590191096	12039.437095552300127171	29056.517233089008717316
2362000	drive	mapbox	60	1442710.23221749026127747293486090	1400338.52625059294240400111885014	707100.37334560169494724970751020	3939193.02653146158337486657160422
2362000	transit	otp	60	41339.9695999142683943955	11223.3663901075688139904	31380.0293369635392433019	87857.4591088532512763932
2527500	walk	otp	60	15509.865536119148989975	1528.439075879771841371	2811.706386782831278074	19902.406383938543941539
2527500	drive	mapbox	60	1483237.29047326737118921313932990	1444369.79511204365238823622886214	730302.51169540277271940482578220	4052313.70311219535035185071355222
2527500	transit	otp	60	94966.5463607973005482362	39707.4843370186805257302	33958.7095303373070290622	176425.8142725273800622942
2527501	walk	otp	60	41398.8988883891699530627	2683.7979370053489976930	4804.0170128846185899929	49581.0157164430192379195
2527501	drive	mapbox	60	1487893.23451503946517409464231590	1445176.72137199634623261395787214	731942.81286296632895268290747620	4060736.92102964113860433870018222
2527501	transit	otp	60	100611.4171553094193901676	20856.9672425993937672946	46672.7713322574046530890	176956.9300572755194180814
2527505	walk	otp	60	36686.7538941687392590508	18099.7931755751738311950	17728.6879068482335522006	85134.3066082216338958900
2527505	drive	mapbox	60	1460517.66423874314026815883545390	1385195.47149211308277183763641714	721462.78833881981910543747131220	3959533.92734549831809137025083522
